id,u,v,key,osmid,length,name
1729,1396135794,1396135803,0,171693059,67.896,José Santos Chocano
1730,1396135809,1396138602,0,25980282,23.555,Lazo de los Rios
1731,1396135810,1396135825,0,25980282,26.856,Lazo de los Rios
1732,1396135825,3725076882,0,25980282,62.749,Lazo de los Rios
1733,1396135825,5479086001,0,110824331,208.348,Calle Malaga Grenet
1734,1396138602,1396138603,0,110835320,61.201,Juana Espinoza
1735,1396138603,5375720539,0,110835320,124.408,Juana Espinoza
1736,1396138603,5375720552,0,175549252,61.151,Matias Manzanilla
1737,1506390743,8949309457,0,110827193,21.858,Calle Plaza de Armas
1738,1506390743,8949309462,0,110827193,25.965,Calle Plaza de Armas
1739,1506390743,8949309458,0,967346775,13.372,
1740,1718845635,5793942733,0,175549049,40.672,Quinta Vivanco
1741,1718845635,1718845654,0,378704932,254.463,Pasaje Ripacha
1742,1718845635,5793954766,0,612020119,607.2680000000001,
1743,1718845642,4318665058,0,954805045,12.119,
1744,1718845642,4318665051,0,175549049,82.414,Quinta Vivanco
1745,1718845642,4467262504,0,175549049,61.453,Quinta Vivanco
1746,1718845654,1718845657,0,378704933,50.147,Selva Alegre
1747,1718845654,2084081324,0,198248129,109.41,
1748,1718845655,1718845657,0,378704933,6.881,Selva Alegre
1749,1718845655,3338917105,0,327165948,118.326,
1750,1718845655,4110473040,0,378704933,56.278,Selva Alegre
1751,1718845657,4110473040,0,409155985,71.349,
1752,1718845674,2084081517,0,378704933,197.12900000000002,Selva Alegre
1753,1718845674,6061568161,0,"[599437433, 113219941, 113219943]",30.533999999999995,Thomas Álvares
1754,1718845674,4110468114,0,599437433,3.288,Thomas Álvares
1755,1736356090,5375739510,0,113213184,12.446,Juan del la Torre
1756,1817244768,5393843705,0,559192694,48.346,
1757,1817244768,9675005115,0,1270964368,59.437,Avenida Independencia
1758,1817244796,5406211262,0,110818701,56.97,Chala
1759,1817244796,9675005091,0,110822619,40.416000000000004,Avenida Independencia
1760,1817244873,2364574302,0,327911110,95.998,Pasaje Zarumilla
1761,1817244873,1817244875,0,511569554,68.87899999999999,Avenida Independencia
1762,1817244875,9674888302,0,1052739764,6.631,Calle Malecón Socabaya
1763,1817244875,11009101050,0,110812412,38.346000000000004,Calle Malecón Socabaya
1764,1817244875,11016523158,0,"[354695472, 354695474, 404430019]",389.65500000000003,"['Vía Exclusiva Daniel Alcides Carrión', 'Acceso Rápido Alcides Carrión']"
1765,1861262983,10858131534,0,491223451,22.169,Avenida Miguel Forga
1766,1861262983,5375241709,0,557340190,353.569,Calle Cayetano Arenas
1767,1861262983,10904424638,0,198637979,19.07,Calle Cayetano Arenas
1768,1861262983,4833689441,0,110829900,21.909,Avenida Miguel Forga
1769,1861262983,5431385363,0,110814478,19.702,Calle Cayetano Arenas
1770,1861553896,11019063526,0,649901512,16.291,Avenida Vírgen del Pilar
1771,1861553896,5485263383,0,809386607,8.71,Avenida Dolores
1772,2082854454,4018848474,0,198105563,21.442,
1773,2082854454,2082854457,0,"[399141474, 198723467, 198723469]",381.641,Avenida los Incas
1774,2082854454,4018850611,0,399141474,47.795,Avenida los Incas
1775,2082854456,4018850617,0,198105692,65.432,Avenida los Incas
1776,2082854456,4018850616,0,399141468,63.722,Avenida los Incas
1777,2082854456,5213458982,0,399141468,62.769999999999996,Avenida los Incas
1778,2082854457,2083295453,0,198723469,38.831,Avenida los Incas
1779,2082854457,5213421946,0,424465895,128.172,
1780,2082854462,4018850616,0,399141477,12.398,
1781,2082854462,5213458981,0,198723466,124.74800000000002,Avenida los Incas
1782,2082854462,4018850614,0,399141477,19.5,
1783,2082854462,5703156655,0,198723466,5.601,Avenida los Incas
1784,2082854471,4058235026,0,198105331,135.178,
1785,2082854471,2082867667,0,"[198723466, 198723468, 449289445]",287.443,Avenida los Incas
1786,2082854471,2083295444,0,449289445,39.917,Avenida los Incas
1787,2082859825,2083295448,0,198155697,10.118,Nicolás SIlva
1788,2082859825,5465620988,0,110821183,71.77,Nicolás SIlva
1789,2082859825,4978409935,0,198723469,82.708,Avenida los Incas
1790,2082859825,2083295446,0,198723469,78.368,Avenida los Incas
1791,2082864555,4018794091,0,399135785,11.057,
1792,2082864555,4058235030,0,198104774,47.403,Avenida Lambramani
1793,2082864555,11099591052,0,809385841,46.294,Avenida Lambramani
1794,2082867667,4018850612,0,198723466,140.73600000000002,Avenida los Incas
1795,2082867667,4058235023,0,198105562,107.767,
1796,2082870070,4018848479,0,198105692,10.742,Avenida los Incas
1797,2082870070,4018848475,0,399141466,13.225,
1798,2082870070,4018848473,0,399141466,9.308,
1799,2082870070,4018850617,0,198105692,5.779,Avenida los Incas
1800,2083268866,4018848466,0,34905800,54.519999999999996,Avenida los Incas
1801,2083268866,5393843670,0,109454288,52.876000000000005,
1802,2083268866,11815600675,0,570366306,103.822,Avenida los Incas
1803,2083294142,5110356857,0,198155597,16.907,
1804,2083294142,4978409934,0,449289445,50.074000000000005,Avenida los Incas
1805,2083294142,5110361416,0,538629426,23.847,Avenida los Incas
1806,2083295444,2083295453,0,198155699,8.432,Boulevard de Lambramani
1807,2083295444,2083295451,0,449289445,92.845,Avenida los Incas
1808,2083295446,2083295451,0,198155698,9.357,
1809,2083295448,2083295451,0,449289445,78.431,Avenida los Incas
1810,2083295448,4978409934,0,449289445,82.78999999999999,Avenida los Incas
1811,2083295453,4978432991,0,447563238,94.17999999999999,Boulevard de Lambramani
1812,2084076684,8234749369,0,198247619,53.363,Pasaje La Gruta
1813,2084076684,6654502004,0,356857778,53.775999999999996,Pasaje La Gruta
1814,2084076687,3622577145,0,356857777,36.894,Thomas Álvares
1815,2084076687,8234749369,0,198247619,5.515,Pasaje La Gruta
1816,2084081323,2084081324,0,198248128,23.148,
1817,2084081327,10885702068,0,356841216,81.866,Juan del la Torre
1818,2084081327,5379274787,0,"[198248127, 1184264091, 409156965, 409157023]",22.367,
